country_src,country_dest,total_transaction
US,FR,21045
US,US,535984
US,AU,17110
IT,US,6675
IE,GB,13
US,GB,25616
US,DE,63605
KR,US,8640
FR,US,21043
DE,US,63884
AT,US,881
GB,US,25819
DE,FR,2501
KR,GB,428
US,KR,8589
FI,US,1244
CN,US,8765
US,CN,8795
GB,DE,3057
US,KZ,74
ZA,US,89
UA,US,400
AU,US,17378
GB,FR,970
DE,GB,3037
DE,KR,1096
BR,US,1466
AU,CH,41
US,TW,509
CA,DE,994
US,IE,219
FR,DE,2515
DE,DE,7487
NL,US,9246
ID,NL,7
IN,US,3387
NL,FR,368
US,LT,81
PL,NL,37
GB,AU,854
CA,US,8251
US,IT,6594
US,IN,3419
GB,NL,476
AU,AU,551
US,IL,79
DE,CA,936
US,NL,9338
US,JP,1828
US,CA,8090
CH,US,1495
DE,JP,202
FR,GB,1033
JP,US,1832
FR,FR,831
NL,DE,1072
US,CZ,1026
FR,CA,324
DK,US,348
US,SV,10
US,SG,197
US,PL,1892
US,RU,1916
US,DK,413
BE,AU,21
AU,GB,795
DE,AU,2024
FR,KR,326
CZ,DE,125
CH,DE,159
CN,CN,139
HK,US,973
IN,IT,40
GB,GB,1268
SE,DE,124
FR,AU,665
DE,NL,1178
NL,GB,473
US,BG,181
FI,PL,6
HK,AU,33
US,FI,1261
CZ,US,1084
SI,US,387
SE,GB,57
CH,AU,60
CA,GB,421
DE,AR,28
US,MU,125
AU,FR,708
AU,UA,20
CN,DE,1022
AU,DE,2044
PL,US,1840
ID,US,255
IT,FR,248
HK,CH,3
LU,US,128
IT,DE,824
DE,RU,212
DE,IT,826
BT,US,3
DE,IN,429
US,IR,290
US,RO,222
DE,FI,161
SE,US,1017
US,AT,889
CD,US,6
KR,DE,1006
US,BR,1434
US,HK,992
RO,IL,1
IN,AU,117
RU,DE,229
NL,AU,288
NL,CA,140
GB,KR,426
US,JO,10
GB,IT,333
PH,US,434
PL,DE,219
DE,RS,4
SG,US,216
CZ,NL,22
IN,DE,407
RU,US,1840
FR,MU,7
NO,US,558
AT,NL,18
US,CH,1409
US,SE,1076
US,SA,36
FR,CN,352
IT,KR,94
US,NO,512
DE,LU,15
US,ID,284
US,BE,635
DE,CN,985
US,ES,639
NL,HK,18
AU,CN,289
GB,CA,412
JP,GB,91
US,BY,70
DK,DE,47
US,SK,357
CN,FR,323
CA,KR,152
JP,AU,65
DE,CZ,118
UY,US,33
CZ,GB,54
US,TR,233
ES,US,691
TW,US,556
VN,US,57
LV,US,64
US,PT,516
GB,CN,466
AU,RS,2
IT,IT,74
US,EE,68
US,SI,398
EG,US,28
FR,MA,1
US,PH,457
CA,RU,30
US,IQ,23
CA,FR,341
IR,US,294
FR,NL,364
FR,BE,22
US,LI,48
CN,HK,20
GB,BR,61
GB,SK,27
